Триггер,Unnamed: 1,Unnamed: 2,No trigger,Unnamed: 4,Unnamed: 5,Unnamed: 6,Trigger ll (global),Unnamed: 8,Trigger oh-br (global),Unnamed: 10,Trigger oh (global),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Trigger pr (global),Trigger new (agent),Trigger repair (agent),Unnamed: 19,Unnamed: 20
Условия триггера,,,,,,,(ll-sne)<daily_hours,,(oh-ppr)<daily_hours and sne=>br,,(oh-ppr)<daily_hours and sne<br,,,,,trigger_program<>0,new_counter_mi17>0,repair_days=repair_time,,
Тип RTC/Variable/Macroproperty,RTC,Variable - initial,Variable agent_id,Variable,Variable,Variable,Variable,RTC,Variable,RTC,Variable,Variable,Macroproperty2,Macroproperty2,RTC,RTC,RTC,Variable,Variable,Variable
Поле/RTC,,status_id,psn,sne,ppr,repair_days,status_id,fn_balance_ac,status_id,fn_balance_ac,status_id,repair_days,partout_trigger,assembly_trigger,fn_balance_ac,fn_balance_ac, fn_spawn_ac,status_id,ppr,repair_days
Порядок исполнения,,,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1
Неактивно,fn_inactive_ac,1,,,,,,Step 4,,Step 4,,,,,Step 4,Step 4,,,,
Эксплуатация,fn_ops_ac,2,,"""+daily_hours""","""+daily_hours""",,6,Step 1,6,Step 1,4,1,current_date+partout_time,current_date+repair_time-assembly_time,Step 1,Step 1,,,,
Исправен,fn_stock_ac,3,,,,,,Step 2,,Step 2,,,,,Step 2,Step 2,Step 1,,,
Ремонт,fn_repair_ac,4,,,,"""+1""",,,,,,,,,,,,5,0,0
Резерв,fn_reserve_ac,5,,,,,,Step 3,,Step 3,,,,,Step 3,Step 3,,,,
Хранение,fn_store_ac,6,,,,,,,,,,,,,,,,,,
